TrainNumber,TrainName,Type,Priority,Origin,Origin_Code,Destination,Destination_Code,AssignedRoute,ScheduledDeparture,ActualDeparture,ScheduledArrival,ActualArrival,DwellTimeMinutes,RunningTimeMinutes,PlatformAssigned,TrackStatus,SignalState,Weather,PassengerLoad,Disruption
12049,Gatimaan Express,Superfast,goods-only,Agra Cantt,AGC,Tundla Junction,TDL,AGC->TDL,04:59,04:59,07:21,07:21,6,142,4,maintenance,green,clear,0.83,none
12002,Bhopal Shatabdi Express,Express,normal,New Delhi,NDLS,Mathura Junction,MKR,NDLS->MKR,05:50,05:50,07:37,07:37,8,107,1,free,red,storm,0.94,weather_delay
12282,Taj Express,Goods,goods-only,Agra Cantt,AGC,Tundla Junction,TDL,AGC->TDL,05:08,05:08,08:01,08:01,9,173,3,free,red,rain,0.95,signal_failure
12628,Kerala Express,Superfast,goods-only,Agra Cantt,AGC,Tundla Junction,TDL,AGC->TDL,05:01,05:06,07:36,07:41,7,155,1,occupied,red,fog,0.87,none
12828,Chhattisgarh Sampark Kranti,Passenger,high,New Delhi,NDLS,Mathura Junction,MKR,NDLS->MKR,04:42,04:42,07:38,07:38,2,176,2,occupied,yellow,storm,0.65,none
12195,Mahakoshal Express,Superfast,normal,Agra Cantt,AGC,Tundla Junction,TDL,AGC->TDL,04:04,04:04,06:20,06:20,6,136,4,maintenance,yellow,storm,0.89,none
14218,NDLS-AGC Intercity,Passenger,normal,New Delhi,NDLS,Agra Cantt,AGC,NDLS->AGC,04:23,04:23,06:59,06:59,3,156,2,maintenance,yellow,storm,0.77,none
12067,Kota Janshatabdi,Superfast,high,Mathura Junction,MKR,Agra Cantt,AGC,MKR->AGC,04:04,04:04,06:29,06:29,8,145,2,occupied,green,rain,0.63,signal_failure
12927,Malwa Express,Superfast,super high,Mathura Junction,MKR,Tundla Junction,TDL,MKR->TDL,04:02,04:12,05:55,06:05,8,113,1,maintenance,yellow,clear,0.78,none
12189,Gwalior Intercity,Goods,high,Mathura Junction,MKR,Tundla Junction,TDL,MKR->TDL,04:07,04:07,06:03,06:03,5,116,1,maintenance,red,storm,0.84,none
12059,Gatimaan Express,Passenger,normal,Agra Cantt,AGC,Tundla Junction,TDL,AGC->TDL,04:51,04:56,07:07,07:12,10,136,3,occupied,green,fog,0.92,breakdown
12012,Bhopal Shatabdi Express,Superfast,normal,Mathura Junction,MKR,Agra Cantt,AGC,MKR->AGC,05:43,05:43,07:24,07:24,5,101,2,occupied,yellow,storm,0.84,weather_delay
12292,Taj Express,Goods,super high,Agra Cantt,AGC,Tundla Junction,TDL,AGC->TDL,04:08,04:11,06:26,06:29,5,138,4,maintenance,green,clear,0.51,none
